term,course_code,course_name,instructor,location,class_size,meetings_per_week,assessment_structure,has_midterm,has_final,avg_score,q1,median,q3,min_score,max_score,grade_A_pct,grade_B_pct,grade_C_pct,grade_D_pct,grade_F_pct,notes
2025Fall,UG301,Introduction to Cultural Studies,Marin Orel,"Building C, Room 101",300,3,"Quizzes 20%, Participation 10%, Final 70%",no,yes,88,80,88,94,45,100,0.55,0.25,0.12,0.05,0.03,Large lecture with generous grading and frequent participation credit. Figures are fictional and illustrative.
2025Fall,MT201,Foundations of Calculus,Evan Kaito,"Building B, Auditorium 2",250,4,"Homework 30%, Midterm 30%, Final 40%",yes,yes,71,60,72,80,20,100,0.18,0.30,0.30,0.15,0.07,Large introductory course with standard assessments. Numbers are fabricated for demonstration.
2025Spring,GS510,Advanced Research Seminar,Priya Len,"Research Hall, Room 12",10,1,"Paper 60%, Presentation 20%, Participation 20%",no,no,52,48,52,56,30,78,0.06,0.20,0.35,0.25,0.14,Small seminar with rigorous evaluation focused on research output. Dataset is fictional and internally consistent.
2025Spring,AR110,Intro to Creative Workshops,Lina Barros,"Arts Center, Studio 3",12,2,"Portfolio 70%, Attendance 20%, Critiques 10%",no,yes,91,88,92,96,70,100,0.60,0.25,0.10,0.03,0.02,Small hands-on class with high average grades due to portfolio emphasis. All entries are synthetic.
2024Fall,CS420,Systems Programming II,Hiro Tanek,"Engineering Building, Lab 8",80,3,"Projects 50%, Midterm 20%, Final 30%",yes,yes,50,40,52,60,10,85,0.05,0.15,0.30,0.25,0.25,Challenging technical course with low average and few A grades. Values are fictional and illustrative.
2024Winter,ED205,Teaching Practicum,Sofia Ren,"Education Annex, Room 6",60,2,"Observations 30%, Lesson Plans 30%, Final Eval 40%",no,yes,86,82,86,92,60,100,0.52,0.28,0.12,0.06,0.02,Applied practicum with strong grading skewed toward A's. All data are synthetic.
2025Summer,BI230,Ecology and Field Methods,Derek Malle,"Field Station, Classroom 1",40,2,"Fieldwork 50%, Lab Reports 30%, Final 20%",no,yes,79,72,80,86,40,99,0.25,0.35,0.25,0.10,0.05,Hands-on summer course with field components. Figures are fictional and for testing purposes.
2024Spring,PH330,Quantum Concepts,Anika Voss,"Science Tower, Room 214",22,3,"Problem Sets 40%, Midterm 20%, Final 40%",yes,yes,65,50,66,78,25,95,0.12,0.28,0.30,0.20,0.10,Upper-level physics course with a mix of outcomes. All statistics are fictional and consistent.
2025Winter,EC410,Global Markets and Policy,Rafael Orme,"Business Center, Lecture Hall A",260,3,"Essays 30%, Midterm 30%, Final 40%",yes,yes,59,45,60,70,15,95,0.10,0.28,0.32,0.18,0.12,Large policy course with varied performance across the cohort. Entries are synthetic and internally consistent.
2026Spring,UG301,Introductory Robotics,Marin Osei,"Building F, Room 101",300,3,"Labs 30%, Homework 20%, Final 50%",no,yes,88,82,90,95,45,100,0.60,0.25,0.10,0.03,0.02,Large introductory course with many automated labs. Synthetic fictional data.
2026Spring,GR501,Advanced Thermodynamics,Linnea Vorenk,"Building C, Room 009",12,3,"Problem Sets 30%, Midterm 30%, Final 40%",yes,yes,52,45,55,60,20,82,0.05,0.15,0.30,0.20,0.30,Small seminar-style class; material is challenging. All data fictional.
2026Spring,UG498,Quantum Algorithms,Rafael Miron,"Building B, Room 402",260,2,"Project 30%, Midterm 30%, Final 40%",yes,yes,50,38,50,62,10,95,0.03,0.12,0.25,0.30,0.30,Large lecture with difficult concepts in a theoretical field. Fictional statistics.
2026Spring,LB102,Creative Writing Workshop,Sana Kadir,"Building H, Room 012",10,1,"Portfolio 60%, Participation 20%, Final 20%",no,yes,92,88,93,97,75,100,0.70,0.20,0.07,0.02,0.01,Very small workshop focused on peer feedback. Entries are fictional.
2026Spring,UG210,Microeconomics,Tomas Edrich,"Building D, Room 211",120,3,"Homework 25%, Midterm 25%, Final 50%",yes,yes,74,66,74,82,40,99,0.18,0.32,0.30,0.12,0.08,Standard lecture course. Synthetic and internally consistent data.
2026Spring,UG330,Database Systems,Nia Havel,"Building E, Room 120",45,2,"Projects 50%, Quizzes 20%, Final 30%",no,yes,68,60,68,76,25,98,0.20,0.35,0.28,0.10,0.07,Mid-sized course with programming projects. Fictional numbers.
2026Spring,UG101,Foundations of Art History,Priya Anand,"Building G, Room 500",250,2,"Essays 40%, Midterm 30%, Final 30%",yes,yes,58,50,58,66,30,95,0.10,0.25,0.30,0.20,0.15,Large survey course in humanities. Data are fictional and approximate.
2026Spring,LB220,Elementary Persian I,Omid Farrokh,"Building I, Room 018",14,4,"Participation 30%, Homework 30%, Final 40%",no,yes,80,72,80,88,55,99,0.40,0.35,0.15,0.06,0.04,Small language class with active participation. Fictional dataset.
2026Spring,UG275,Software Engineering Practices,Evan Kest,"Building J, Room 304",30,2,"Team Project 50%, Midterm 20%, Final 30%",yes,yes,63,55,63,72,35,96,0.15,0.30,0.30,0.15,0.10,Project-driven course with team assessments. All entries are fictional.
